make,model,trim,mileage,price,year,month
Chrysler,200,Limited,28579,15200,2016,july
Hyundai,Elantra,SE,39802,14200,2017,july
Toyota,RAV4,XLE,39279,18700,2014,july
Nissan,LEAF,S,42331,12500,2015,july
Jeep,Renegade,Latitude,9560,20200,2018,july
Volkswagen,Tiguan Limited,2.0T 4Motion,4384,20100,2018,july
Kia,Sorento,L,10705,21900,2018,july
Ford,Mustang,GT Premium,18151,30800,2016,july
Subaru,WRX,WRX,10329,26600,2018,july
Jeep,Grand Cherokee,Limited,25568,29300,2016,july
Hyundai,Sonata,Sport,16672,17100,2016,july
Toyota,4Runner,SR5,25894,31900,2016,july
Honda,Pilot,EX-L,30142,29500,2016,july
Chevrolet,Corvette,Corvette,49801,31800,2012,july
Dodge,Charger,GT,6500,28300,2018,july
Hyundai,Sonata,Sport,35144,15700,2015,july
Toyota,Camry,LE,21341,16700,2016,july
Jeep,Compass,Latitude,30059,16700,2016,july
Ford,Focus,SE,12653,15700,2018,july
Jeep,Cherokee,Limited,30194,23600,2016,july
Mazda,MX-5 Miata,Grand Touring,6158,27400,2017,july
Subaru,Outback,2.5i Premium,56093,19900,2015,july
Hyundai,Elantra,SE,11139,17700,2017,july
Chevrolet,Camaro,LT,9812,28400,2017,july
Jeep,Grand Cherokee,Limited,35962,26000,2015,july
BMW,X5,xDrive35i,2575,53100,2018,july
Chrysler,200,Limited,25734,16700,2017,july
Honda,Civic,Si,26356,20300,2015,july
Cadillac,XT5,Premium Luxury,35729,33200,2018,july
Mazda,CX-5,Grand Touring,27998,21600,2016,july
Kia,Sorento,LX,28337,17800,2016,july
Nissan,Maxima,SL,44834,21100,2017,july
Nissan,Rogue,SL,19031,21700,2018,july
Nissan,Murano,SV,30201,22300,2018,july
Mercedes-Ben...,GLE,GLE 350 4MATIC,19076,45000,2018,july
Honda,CR-V,EX,2899,27200,2018,july
Jeep,Cherokee,Latitude,23769,19700,2016,july
Jeep,Cherokee,Limited,8454,24400,2016,july
Mercedes-Ben...,E-Class,E 300,11146,46300,2018,july
GMC,Acadia,Denali,27966,34700,2017,july
Land Rover,Discovery Sport,HSE,9165,38700,2018,july
Ford,Mustang,EcoBoost,17026,21700,2016,july
Mercedes-Ben...,C-Class,C 300 4MATIC,40662,24000,2015,july
Dodge,Journey,Crossroad,14769,19200,2018,july
Mazda,MAZDA6,Grand Touring,15409,23700,2017,july
Chevrolet,Equinox,LS,16026,17400,2017,july
Chevrolet,Equinox,LT,24815,16900,2016,july
Dodge,Charger,SXT,5192,24700,2018,july
Dodge,Journey,GT,25812,19500,2017,july
Kia,Soul,Soul,20785,14200,2016,july
Chevrolet,Equinox,LS,21141,16700,2017,july
Kia,Optima,LX,34091,15000,2017,july
Nissan,Frontier Crew Cab,SV 5 ft,17361,22000,2019,july
Toyota,Corolla,XLE,32861,15200,2018,july
Toyota,Corolla,LE,20598,16100,2018,july
Kia,Optima,LX,30479,14900,2016,july
Chrysler,Pacifica,Limited,13772,33900,2019,july
Chevrolet,Equinox,LT,23827,17300,2017,july
Mazda,CX-9,Signature,6949,40300,2018,july
BMW,3 Series,328i xDrive,12908,26600,2016,july
Kia,Sorento,LX,29973,20000,2018,july
Jeep,Cherokee,Limited,7023,25700,2016,july
Mazda,MX-5 Miata,Grand Touring,7134,24500,2016,july
Nissan,Sentra,SV,17965,14100,2016,july
Hyundai,Elantra,Limited,22289,16700,2017,july
Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,35445,29800,2014,july
Toyota,RAV4,Limited,9888,27900,2018,july
Ford,Escape,SE,21017,16900,2016,july
INFINITI,Q50,3.0t Premium,19458,24000,2016,july
GMC,Acadia,SLE-2,54042,20500,2016,july
Toyota,RAV4,XLE,28533,20200,2016,july
Chevrolet,Malibu,LS,17379,17100,2018,july
Chevrolet,Camaro,SS,33037,28700,2015,july
Volkswagen,Jetta,1.4T S,48437,12700,2017,july
Chevrolet,Camaro,LT,152,28900,2017,july
Volkswagen,Golf Alltrack,TSI SE,36570,19300,2017,july
Mercedes-Ben...,E-Class,E 350,21079,26900,2016,july
Nissan,Altima,2.5 SR,10494,20600,2018,july
Chevrolet,Volt,Premier,30367,21700,2017,july
Chevrolet,Volt,Premier,42173,20600,2017,july
Ram,1500 Crew Cab,Laramie 5 1/2 ft,21147,35800,2017,july
Dodge,Challenger,R/T Scat Pack,11753,36100,2016,july
Kia,Sedona,LX,28673,20100,2016,july
Honda,Accord,Touring,17140,27700,2018,july
INFINITI,G,IPL,57986,20800,2013,july
Dodge,Challenger,R/T,28179,24000,2013,july
Jeep,Renegade,Latitude,15979,18900,2017,july
Hyundai,Sonata,GLS,17529,14700,2013,july
Dodge,Grand Caravan Pas...,SXT,41677,17700,2018,july
Hyundai,Santa Fe Sport,Santa Fe Sport,55940,16500,2017,july
INFINITI,Q50,RED SPORT 400,809,43900,2019,july
Hyundai,Tucson,SE,33823,16600,2017,july
Jeep,Compass,Limited,28735,22000,2018,july
Hyundai,Elantra,SE,7047,15800,2018,july
Toyota,Corolla,LE,24615,15800,2018,july
Hyundai,Elantra,Limited,15822,17300,2017,july
Hyundai,Tucson,SEL,26328,17600,2018,july
Honda,Accord,EX-L,52230,18300,2015,july
Toyota,Corolla,LE,19155,16100,2018,july
BMW,5 Series,528i xDrive,56601,24300,2016,july
Nissan,370Z,Touring,20887,23600,2012,july
Jeep,Grand Cherokee,Limited,11799,32900,2018,july
Jeep,Wrangler,Sport,20247,29500,2015,july
