,Make,Model,trim,Mileage,Price
0,2018 Chevrolet,Impala,Premier,"36,301 miles","20,300"
0,2015 Audi,Q5,2.0T Premium,"30,724 miles","24,200"
0,2016 Audi,A6,2.0T Premium,"22,674 miles","25,800"
0,2015 Audi,A6,2.0T Premium,"41,861 miles","22,000"
0,2013 GMC,Acadia,Denali,"51,652 miles","24,600"
0,2017 Hyundai,Sonata,Sport,"42,488 miles","15,800"
0,2012 Honda,CR-V,EX-L,"79,220 miles","16,800"
0,2016 Kia,Forte Koup,EX,"17,788 miles","14,800"
0,2016 Volkswagen,Tiguan,2.0T S 4Motion,"32,591 miles","16,500"
0,2017 Hyundai,Elantra,SE,"34,172 miles","14,200"
0,2016 Ford,Fusion Energi,Plug-In Hybrid Titanium,"18,996 miles","19,500"
0,2018 Ford,Escape,SE,"43,311 miles","15,800"
0,2015 Honda,CR-V,Touring,"25,613 miles","23,700"
0,2013 Cadillac,ATS,2.0L Turbo Premium,"87,321 miles","16,100"
0,2013 INFINITI,JX,JX35,"104,602 miles","19,800"
0,2014 Ford,Fusion,S,"77,863 miles","11,800"
0,2016 Hyundai,Accent,SE,"46,147 miles","11,600"
0,2017 Honda,Civic,LX,"43,383 miles","16,300"
0,2016 Chevrolet,Camaro,LT,"19,145 miles","28,200"
0,2016 Honda,CR-V,EX,"31,247 miles","21,300"
0,2016 Toyota,RAV4,XLE,"28,390 miles","21,400"
0,2016 Hyundai,Accent,SE,"38,327 miles","11,800"
0,2012 Buick,LaCrosse,Premium II,"96,132 miles","13,100"
0,2014 Chevrolet,Impala,LT,"68,261 miles","14,800"
0,2018 Jeep,Compass,Latitude,"20,412 miles","20,700"
0,2015 Dodge,Challenger,SXT,"32,825 miles","21,300"
0,2017 Ford,Fusion,SE,"27,693 miles","15,800"
0,2011 Hyundai,Elantra,Limited,"50,167 miles","10,800"
0,2016 Kia,Optima,LX,"34,328 miles","14,800"
0,2016 Kia,Optima,LX,"25,731 miles","14,800"
0,2016 Toyota,RAV4,XLE Hybrid,"30,605 miles","23,400"
0,2013 Nissan,Altima,2.5 SV,"54,064 miles","12,800"
0,2010 Hyundai,Genesis,3.8,"84,437 miles","11,400"
0,2017 Subaru,Outback,2.5i Premium,"21,082 miles","25,000"
0,2016 Buick,Enclave,Leather,"29,412 miles","27,200"
0,2013 Cadillac,ATS,2.0L Turbo Premium,"87,321 miles","16,100"
0,2013 INFINITI,JX,JX35,"104,602 miles","19,800"
0,2014 Ford,Fusion,S,"77,863 miles","11,800"
0,2016 Hyundai,Accent,SE,"46,147 miles","11,600"
0,2017 Honda,Civic,LX,"43,383 miles","16,300"
0,2016 Chevrolet,Camaro,LT,"19,145 miles","28,200"
0,2016 Honda,CR-V,EX,"31,247 miles","21,300"
0,2016 Toyota,RAV4,XLE,"28,390 miles","21,400"
0,2016 Hyundai,Accent,SE,"38,327 miles","11,800"
0,2012 Buick,LaCrosse,Premium II,"96,132 miles","13,100"
0,2014 Chevrolet,Impala,LT,"68,261 miles","14,800"
0,2018 Jeep,Compass,Latitude,"20,412 miles","20,700"
0,2015 Dodge,Challenger,SXT,"32,825 miles","21,300"
0,2017 Ford,Fusion,SE,"27,693 miles","15,800"
0,2011 Hyundai,Elantra,Limited,"50,167 miles","10,800"
0,2016 Kia,Optima,LX,"34,328 miles","14,800"
0,2016 Kia,Optima,LX,"25,731 miles","14,800"
0,2016 Toyota,RAV4,XLE Hybrid,"30,605 miles","23,400"
0,2013 Nissan,Altima,2.5 SV,"54,064 miles","12,800"
0,2010 Hyundai,Genesis,3.8,"84,437 miles","11,400"
0,2017 Subaru,Outback,2.5i Premium,"21,082 miles","25,000"
0,2016 Buick,Enclave,Leather,"29,412 miles","27,200"
0,2017 Hyundai,Elantra,SE,"39,673 miles","13,800"
0,2018 Toyota,Sienna,SE,"41,118 miles","25,700"
0,2013 MINI,Coupe,Cooper S,"54,847 miles","15,400"
0,2016 Chevrolet,Impala,LT,"86,467 miles","15,500"
0,2016 Mazda,CX-5,Touring,"23,327 miles","20,800"
0,2016 Honda,Civic,LX,"31,413 miles","16,200"
0,2016 Hyundai,Tucson,SE,"44,709 miles","16,600"
0,2016 Ford,Escape,S,"62,683 miles","13,800"
0,2017 Hyundai,Elantra,SE,"17,275 miles","14,600"
0,2016 Buick,Cascada,Premium,"32,518 miles","21,300"
0,2014 Volkswagen,Beetle,1.8T,"8,839 miles","14,500"
0,2016 Mazda,CX-5,Grand Touring,"32,263 miles","22,900"
0,2017 Subaru,Outback,2.5i Limited,"33,020 miles","27,800"
0,2014 MINI,Roadster,Cooper,"94,039 miles","13,700"
0,2016 Hyundai,Sonata,SE,"37,621 miles","16,000"
0,2014 Honda,Odyssey,EX,"76,147 miles","19,200"
0,2017 Ford,Escape,Titanium,"39,439 miles","21,000"
0,2017 Volkswagen,Tiguan,2.0T S 4Motion,"36,552 miles","17,700"
0,2014 Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,"81,236 miles","27,600"
0,2013 Toyota,Prius,One,"98,168 miles","14,000"
0,2012 Scion,xB,xB,"57,691 miles","10,800"
0,2017 Kia,Sportage,LX,"16,543 miles","18,500"
0,2016 Buick,Verano,Leather Group,"18,814 miles","16,700"
0,2017 Chrysler,Pacifica,Touring-L,"51,695 miles","22,200"
0,2018 Volkswagen,Beetle,2.0T S,"34,919 miles","18,100"
0,2016 Kia,Optima,EX,"26,792 miles","17,100"
0,2017 Hyundai,Sonata,Limited,"22,776 miles","16,900"
0,2016 Subaru,Outback,2.5i Premium,"17,855 miles","22,900"
0,2012 Toyota,Highlander,Highlander,"93,145 miles","17,800"
0,2011 MINI,Hardtop,Cooper,"42,795 miles","12,200"
0,2016 Mazda,CX-5,Touring,"32,954 miles","19,800"
0,2015 Nissan,Rogue,S,"32,765 miles","17,800"
0,2016 Nissan,Rogue,SV,"35,700 miles","17,000"
0,2017 Toyota,Sienna,LE,"75,520 miles","24,000"
0,2016 Mitsubishi,Outlander Sport,ES,"58,239 miles","15,300"
0,2016 Acura,TLX,3.5,"37,210 miles","23,200"
0,2016 Kia,Sorento,SX,"53,567 miles","23,800"
0,2015 GMC,Terrain,SLT-1,"38,588 miles","21,200"
0,2013 Volkswagen,GTI,Autobahn Hatchback,"44,732 miles","19,000"
0,2015 Chrysler,200,200S,"38,565 miles","17,400"
0,2016 Subaru,Crosstrek,2.0i Premium,"69,754 miles","18,300"
0,2017 Toyota,Camry,XSE,"25,883 miles","19,700"
0,2017 Ford,Fusion,SE Hybrid,"47,896 miles","15,800"
0,2016 Honda,Civic,LX,"48,832 miles","16,000"
0,2015 Nissan,Rogue,SL,"75,299 miles","16,900"
0,2017 Hyundai,Elantra,SE,"24,319 miles","14,500"
0,2010 Mazda,CX-9,Touring,"78,103 miles","13,700"
0,2016 Kia,Soul,Soul,"13,721 miles","14,400"
0,2015 Honda,CR-V,LX,"24,758 miles","19,000"
0,2011 Dodge,Challenger,R/T,"27,723 miles","23,800"
0,2017 Nissan,Altima,2.5,"48,103 miles","17,800"
0,2016 Acura,TLX,3.5,"25,728 miles","24,200"
0,2016 Hyundai,Genesis,3.8,"60,574 miles","21,800"
0,2017 Hyundai,Elantra,SE,"13,100 miles","15,300"
0,2016 Nissan,Rogue,SV,"29,455 miles","17,500"
0,2015 Honda,Accord,Sport,"61,401 miles","16,600"
0,2016 Toyota,RAV4,XLE,"15,596 miles","22,300"
0,2017 Chevrolet,Sonic,LS,"21,373 miles","12,300"
0,2013 Ford,Explorer,XLT,"57,745 miles","19,400"
0,2015 Toyota,4Runner,SR5 Premium,"74,670 miles","28,700"
0,2017 Ford,Fusion,SE Hybrid,"53,271 miles","15,700"
0,2013 Hyundai,Sonata,GLS,"85,626 miles","11,900"
0,2013 Toyota,RAV4,Limited,"73,200 miles","18,800"
0,2017 Chevrolet,Volt,Premier,"24,608 miles","23,300"
0,2012 Honda,Fit,Fit,"29,260 miles","13,100"
0,2016 Hyundai,Santa Fe Sport,Santa Fe Sport,"59,516 miles","16,700"
0,2015 Chevrolet,Equinox,LT,"53,516 miles","15,200"
0,2017 Kia,Sorento,SX,"20,157 miles","28,800"
0,2017 Chevrolet,Cruze,LT,"48,178 miles","13,900"
0,2012 Lincoln,MKT,MKT,"27,063 miles","20,100"
