Make,Model,trim,Mileage,Price
2016 Kia,Sorento,LX,"43,113 miles","16,900"
2018 Hyundai,Santa Fe,SE,"15,963 miles","20,700"
2016 Mazda,CX-5,Sport,"30,306 miles","17,900"
2017 Chevrolet,Traverse,LS,"25,831 miles","22,000"
2017 Mitsubishi,Outlander,SE,"37,328 miles","17,400"
2017 Honda,Accord,Sport SE,"16,227 miles","21,200"
2015 Chevrolet,Camaro,SS,"5,026 miles","30,100"
2016 Chrysler,300,300S,"29,735 miles","20,600"
2018 GMC,Terrain,SLE,"17,266 miles","21,800"
2016 Hyundai,Sonata,Sonata,"31,843 miles","14,600"
2016 Ford,Edge,SE,"42,823 miles","20,700"
2015 Ford,Mustang,GT 50 Years Limited Editi...,"4,876 miles","38,500"
2018 Ford,Mustang,EcoBoost Premium,"31,549 miles","22,000"
2015 Cadillac,ATS,3.6L Performance,"44,410 miles","23,300"
2016 Toyota,Tacoma Double Cab,SR5 5 ft,"17,834 miles","28,500"
2017 Buick,Encore,Preferred II,"23,750 miles","18,700"
2016 Honda,CR-V,LX,"41,650 miles","18,600"
2017 GMC,Terrain,SLT,"20,289 miles","19,800"
2018 Dodge,Challenger,SXT,"19,775 miles","21,200"
2017 INFINITI,QX50,QX50,"40,874 miles","21,900"
2015 Jeep,Grand Cherokee,SRT,"20,984 miles","47,800"
2018 BMW,3 Series,340i xDrive,"9,738 miles","42,100"
2018 BMW,3 Series,330e iPerformance,"24,320 miles","32,100"
2016 Honda,CR-V,LX,"33,716 miles","18,400"
2018 Dodge,Durango,SXT,"8,136 miles","28,000"
2016 Kia,Optima,EX,"30,608 miles","15,900"
2016 GMC,Acadia,Denali,"36,720 miles","28,700"
2016 Honda,Accord,EX,"17,593 miles","19,800"
2018 Chevrolet,Equinox,LT,"24,090 miles","20,800"
2017 Ford,Explorer,XLT,"48,031 miles","22,600"
2018 Ford,Mustang,EcoBoost Premium,"20,939 miles","23,800"
2016 Honda,Civic,EX,"21,172 miles","17,300"
2016 Jeep,Compass,High Altitude Edition,"16,123 miles","18,700"
2017 Chevrolet,Equinox,Premier,"23,066 miles","19,900"
2016 Honda,Civic,EX-T,"25,145 miles","17,300"
2016 Toyota,Tacoma Double Cab,TRD Sport 5 ft,"27,411 miles","29,200"
2016 Lexus,ES,ES 350,"18,590 miles","26,300"
2018 Jeep,Renegade,Latitude,"4,636 miles","18,500"
2018 Honda,Accord,EX-L,"6,856 miles","27,300"
2018 Nissan,Murano,Platinum,"10,570 miles","29,400"
2018 Chevrolet,Malibu,LS,"15,538 miles","17,300"
2018 Chevrolet,Malibu,LT,"17,923 miles","16,700"
2017 Ram,1500 Crew Cab,Laramie 5 1/2 ft,"20,022 miles","30,000"
2018 Honda,Civic,Si,"6,784 miles","22,300"
2018 BMW,3 Series,330e iPerformance,"11,216 miles","36,100"
2016 Nissan,Rogue,S,"44,661 miles","17,200"
2014 Mercedes-Ben...,E-Class,E 350 4MATIC,"44,478 miles","24,100"
2016 Honda,Accord,Sport,"19,484 miles","19,300"
2015 Dodge,Challenger,R/T,"26,479 miles","27,400"
2016 Ford,Edge,SEL,"36,342 miles","20,300"
2016 Honda,Accord,Sport,"18,268 miles","21,000"
2018 Honda,CR-V,EX-L,"1,916 miles","30,900"
2018 Nissan,Sentra,SR,"4,751 miles","17,300"
2016 Hyundai,Sonata,Sonata,"8,382 miles","16,900"
2016 Mazda,CX-5,Grand Touring,"36,030 miles","22,500"
2016 Honda,CR-V,Touring,"23,140 miles","25,200"
2018 Jeep,Renegade,Altitude,"8,021 miles","20,600"
2016 Toyota,Corolla,LE,"30,681 miles","14,800"
2016 BMW,5 Series,535i xDrive,"27,598 miles","31,800"
2017 GMC,Sierra 1500 Crew ...,SLT 5 3/4 ft,"9,686 miles","41,500"
2018 Jeep,Renegade,Altitude,"8,718 miles","20,600"
2016 Volkswagen,Passat,1.8T SE,"21,699 miles","17,000"
2018 Volkswagen,Passat,2.0T SEL Premium,"18,672 miles","21,800"
2016 Audi,A6,3.0T Premium Plus,"43,800 miles","29,300"
2017 Ram,1500 Crew Cab,Big Horn 5 1/2 ft,"11,094 miles","31,200"
2015 Ford,Mustang,GT,"4,683 miles","32,000"
2016 Kia,Soul,Soul,"38,267 miles","13,300"
2015 Dodge,Challenger,SXT,"1,776 miles","24,300"
2017 Toyota,RAV4,XLE,"36,876 miles","20,200"
2018 Chevrolet,Camaro,SS,"14,745 miles","39,300"
2018 Chevrolet,Equinox,LT,"13,652 miles","23,700"
2018 Audi,S5,Premium Plus,"5,107 miles","51,000"
2016 Hyundai,Sonata,Limited,"16,823 miles","19,400"
2016 Kia,K900,Luxury,"29,927 miles","25,500"
2016 Ford,C-MAX Hybrid,SEL,"40,895 miles","15,300"
2016 Jeep,Cherokee,Limited,"19,281 miles","24,600"
2018 Honda,CR-V,EX-L,295 miles,"29,200"
2018 Volkswagen,Tiguan Limited,2.0T 4Motion,"10,247 miles","19,700"
2016 Jeep,Wrangler,Unlimited Sport,884 miles,"33,800"
2015 Chevrolet,Corvette,Stingray Z51,"11,806 miles","48,400"
2017 Jeep,Grand Cherokee,Limited,"42,531 miles","25,800"
2016 Honda,CR-V,EX,"33,709 miles","20,500"
2018 Mercedes-Ben...,GLE,GLE 350,"9,964 miles","44,600"
2017 Volkswagen,Golf SportWagen,TSI S,"26,042 miles","16,800"
2018 Mercedes-Ben...,GLE,GLE 350,"9,402 miles","44,700"
2018 Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,"8,307 miles","33,500"
2018 Mercedes-Ben...,GLE,GLE 350,"10,548 miles","44,400"
2016 Kia,Sorento,SX,"21,229 miles","26,100"
2017 Toyota,Camry,LE,"38,547 miles","16,600"
2016 Ford,Mustang,EcoBoost,"11,398 miles","22,800"
2018 Toyota,4Runner,TRD Off-Road,"8,011 miles","47,500"
2018 INFINITI,QX30,Essential (2018.5),"12,111 miles","27,300"
2016 Honda,Civic,EX-L,"31,597 miles","19,000"
2018 Hyundai,Elantra,SE,"5,858 miles","16,000"
2019 Buick,Enclave,Essence,"13,760 miles","37,200"
2017 Hyundai,Sonata,Sonata,"12,669 miles","16,100"
2017 Lincoln,MKZ,Reserve,"11,553 miles","27,500"
2017 MINI,Countryman,Cooper S,"11,633 miles","29,500"
2016 Ram,1500 Crew Cab,Big Horn 5 1/2 ft,"22,955 miles","30,700"
2018 Toyota,Sequoia,SR5,"18,616 miles","39,400"
2013 Toyota,Camry,LE,"23,953 miles","15,800"
2018 Chrysler,300,300S,"30,182 miles","22,700"
2014 Ford,Mustang,GT Premium,"27,904 miles","26,500"
2017 Chevrolet,Equinox,LS,"19,230 miles","19,100"
2016 Ford,Escape,Titanium,"36,767 miles","19,200"
2018 Honda,Civic,LX,"33,797 miles","19,400"
2016 Toyota,RAV4,XLE,"35,312 miles","19,500"
2016 Toyota,RAV4,XLE,"23,143 miles","20,500"
2017 Dodge,Journey,SE,"31,181 miles","18,600"
2018 Hyundai,Accent,SE,"15,719 miles","14,600"
2017 Chevrolet,Cruze,LT,"10,399 miles","15,500"
2018 Chevrolet,Cruze,LT,"14,149 miles","15,400"
2017 Kia,Sorento,SX,"29,004 miles","27,100"
2018 Ford,Focus,SE,"22,329 miles","14,500"
2016 Dodge,Journey,Crossroad,"34,287 miles","19,300"
2015 Chevrolet,Equinox,LT,"25,429 miles","17,000"
2018 Hyundai,Sonata,SEL,"7,008 miles","19,200"
2015 Hyundai,Sonata,Sport 2.0T,"46,022 miles","17,400"
2016 Jeep,Cherokee,Latitude,"12,816 miles","20,400"
2018 Lincoln,MKX,Reserve,"27,401 miles","32,200"
2017 Chevrolet,Equinox,Premier,"34,100 miles","19,700"
2016 Nissan,Maxima,SV,"28,049 miles","21,100"
2017 Hyundai,Elantra,SE,"10,220 miles","15,400"
2012 Mazda,MX-5 Miata,Grand Touring,"10,976 miles","19,300"
2018 Kia,Optima Plug-in Hy...,EX,"6,152 miles","25,700"
2018 Mazda,MAZDA3,Sport,"4,991 miles","19,000"
2018 Nissan,Murano,SV,"6,898 miles","29,900"
2016 INFINITI,QX50,QX50,"14,775 miles","24,800"
2018 Ford,Taurus,Limited,"38,548 miles","18,900"
2017 Lincoln,MKZ,Reserve,"15,460 miles","25,400"
2017 Volkswagen,Jetta,1.4T S,"11,737 miles","15,300"
2017 Hyundai,Elantra,SE,"29,010 miles","14,200"
2016 Chevrolet,Trax,LS,"13,290 miles","16,000"
2016 Cadillac,SRX,Luxury Collection,"28,075 miles","28,900"
2016 Jeep,Grand Cherokee,High Altitude,"19,862 miles","35,000"
2016 Chrysler,200,Limited,"28,579 miles","15,200"
2017 Hyundai,Elantra,SE,"39,802 miles","14,200"
2014 Toyota,RAV4,XLE,"39,279 miles","18,700"
2015 Nissan,LEAF,S,"42,331 miles","12,500"
2018 Jeep,Renegade,Latitude,"9,560 miles","20,200"
2018 Volkswagen,Tiguan Limited,2.0T 4Motion,"4,384 miles","20,100"
2018 Kia,Sorento,L,"10,705 miles","21,900"
2016 Ford,Mustang,GT Premium,"18,151 miles","30,800"
2018 Subaru,WRX,WRX,"10,329 miles","26,600"
2016 Jeep,Grand Cherokee,Limited,"25,568 miles","29,300"
2016 Hyundai,Sonata,Sport,"16,672 miles","17,100"
2016 Toyota,4Runner,SR5,"25,894 miles","31,900"
2016 Honda,Pilot,EX-L,"30,142 miles","29,500"
2012 Chevrolet,Corvette,Corvette,"49,801 miles","31,800"
2018 Dodge,Charger,GT,"6,500 miles","28,300"
2015 Hyundai,Sonata,Sport,"35,144 miles","15,700"
2016 Toyota,Camry,LE,"21,341 miles","16,700"
2016 Jeep,Compass,Latitude,"30,059 miles","16,700"
2018 Ford,Focus,SE,"12,653 miles","15,700"
2016 Jeep,Cherokee,Limited,"30,194 miles","23,600"
2017 Mazda,MX-5 Miata,Grand Touring,"6,158 miles","27,400"
2015 Subaru,Outback,2.5i Premium,"56,093 miles","19,900"
2017 Hyundai,Elantra,SE,"11,139 miles","17,700"
2017 Chevrolet,Camaro,LT,"9,812 miles","28,400"
2015 Jeep,Grand Cherokee,Limited,"35,962 miles","26,000"
2018 BMW,X5,xDrive35i,"2,575 miles","53,100"
2017 Chrysler,200,Limited,"25,734 miles","16,700"
2015 Honda,Civic,Si,"26,356 miles","20,300"
2018 Cadillac,XT5,Premium Luxury,"35,729 miles","33,200"
2016 Mazda,CX-5,Grand Touring,"27,998 miles","21,600"
2016 Kia,Sorento,LX,"28,337 miles","17,800"
2017 Nissan,Maxima,SL,"44,834 miles","21,100"
2018 Nissan,Rogue,SL,"19,031 miles","21,700"
2018 Nissan,Murano,SV,"30,201 miles","22,300"
2018 Mercedes-Ben...,GLE,GLE 350 4MATIC,"19,076 miles","45,000"
2018 Honda,CR-V,EX,"2,899 miles","27,200"
2016 Jeep,Cherokee,Latitude,"23,769 miles","19,700"
2016 Jeep,Cherokee,Limited,"8,454 miles","24,400"
2018 Mercedes-Ben...,E-Class,E 300,"11,146 miles","46,300"
2017 GMC,Acadia,Denali,"27,966 miles","34,700"
2018 Land Rover,Discovery Sport,HSE,"9,165 miles","38,700"
2016 Ford,Mustang,EcoBoost,"17,026 miles","21,700"
2015 Mercedes-Ben...,C-Class,C 300 4MATIC,"40,662 miles","24,000"
